Philadelphia 76ers,117,Boston Celtics,126,-9
Los Angeles Lakers,109,Golden State Warriors,123,-14
Orlando Magic,109,Detroit Pistons,113,-4
Washington Wizards,114,Indiana Pacers,107,7
Houston Rockets,107,Atlanta Hawks,117,-10
New Orleans Pelicans,130,Brooklyn Nets,108,22
New York Knicks,112,Memphis Grizzlies,115,-3
Chicago Bulls,116,Miami Heat,108,8
Cleveland Cavaliers,105,Toronto Raptors,108,-3
Oklahoma City Thunder,108,Minnesota Timberwolves,115,-7
Charlotte Hornets,129,San Antonio Spurs,102,27
Denver Nuggets,102,Utah Jazz,123,-21
Dallas Mavericks,105,Phoenix Suns,107,-2
Portland Trail Blazers,115,Sacramento Kings,108,7
Milwaukee Bucks,90,Philadelphia 76ers,88,2
Los Angeles Clippers,103,Los Angeles Lakers,97,6
New Orleans Pelicans,124,Charlotte Hornets,112,12
San Antonio Spurs,137,Indiana Pacers,134,3
Chicago Bulls,100,Washington Wizards,102,-2
Orlando Magic,98,Atlanta Hawks,108,-10
Toronto Raptors,105,Brooklyn Nets,109,-4
Boston Celtics,111,Miami Heat,104,7
Detroit Pistons,106,New York Knicks,130,-24
Memphis Grizzlies,129,Houston Rockets,122,7
Utah Jazz,132,Minnesota Timberwolves,126,6
Denver Nuggets,128,Golden State Warriors,123,5
Phoenix Suns,111,Portland Trail Blazers,113,-2
San Antonio Spurs,114,Philadelphia 76ers,105,9
Detroit Pistons,115,Indiana Pacers,124,-9
Boston Celtics,126,Orlando Magic,120,6
Cleveland Cavaliers,128,Chicago Bulls,96,32
Toronto Raptors,109,Miami Heat,112,-3
Houston Rockets,105,Milwaukee Bucks,125,-20
Memphis Grizzlies,96,Dallas Mavericks,137,-41
Oklahoma City Thunder,117,Denver Nuggets,122,-5
Los Angeles Clippers,111,Sacramento Kings,109,2
Portland Trail Blazers,106,Los Angeles Lakers,104,2
Charlotte Hornets,126,Atlanta Hawks,109,17
Washington Wizards,107,Cleveland Cavaliers,117,-10
Utah Jazz,122,New Orleans Pelicans,121,1
Minnesota Timberwolves,116,Oklahoma City Thunder,106,10
Sacramento Kings,125,Golden State Warriors,130,-5
Phoenix Suns,112,Los Angeles Clippers,95,17
Indiana Pacers,106,Philadelphia 76ers,120,-14
Toronto Raptors,98,Miami Heat,90,8
Orlando Magic,102,New York Knicks,115,-13
Boston Celtics,102,Chicago Bulls,120,-18
Utah Jazz,108,Houston Rockets,114,-6
Brooklyn Nets,124,Memphis Grizzlies,134,-10
San Antonio Spurs,115,Minnesota Timberwolves,106,9
Denver Nuggets,110,Portland Trail Blazers,135,-25
Detroit Pistons,99,Washington Wizards,120,-21
Dallas Mavericks,111,New Orleans Pelicans,113,-2
Los Angeles Clippers,94,Oklahoma City Thunder,108,-14
Golden State Warriors,105,Phoenix Suns,134,-29
Orlando Magic,92,Cleveland Cavaliers,103,-11
Atlanta Hawks,118,Detroit Pistons,113,5
Brooklyn Nets,99,Milwaukee Bucks,110,-11
Charlotte Hornets,131,New York Knicks,134,-3
Philadelphia 76ers,109,Toronto Raptors,119,-10
Indiana Pacers,109,Chicago Bulls,124,-15
San Antonio Spurs,122,Minnesota Timberwolves,134,-12
Houston Rockets,101,Utah Jazz,109,-8
Los Angeles Lakers,99,Denver Nuggets,110,-11
Miami Heat,119,Portland Trail Blazers,98,21
Dallas Mavericks,129,Brooklyn Nets,125,4
Los Angeles Clippers,110,Oklahoma City Thunder,118,-8
Miami Heat,110,Golden State Warriors,123,-13
Memphis Grizzlies,125,Sacramento Kings,110,15
Atlanta Hawks,136,Detroit Pistons,112,24
Charlotte Hornets,93,Orlando Magic,113,-20
Cleveland Cavaliers,132,Boston Celtics,123,9
Philadelphia 76ers,112,Toronto Raptors,90,22
Indiana Pacers,127,Washington Wizards,117,10
New York Knicks,108,Milwaukee Bucks,119,-11
Los Angeles Lakers,102,Minnesota Timberwolves,111,-9
Chicago Bulls,124,San Antonio Spurs,129,-5
Utah Jazz,101,Denver Nuggets,117,-16
New Orleans Pelicans,111,Phoenix Suns,124,-13
Houston Rockets,111,Portland Trail Blazers,125,-14
Miami Heat,113,Sacramento Kings,119,-6
Golden State Warriors,113,Charlotte Hornets,120,-7
Indiana Pacers,125,Brooklyn Nets,116,9
Philadelphia 76ers,114,Chicago Bulls,109,5
Atlanta Hawks,115,Milwaukee Bucks,123,-8
Oklahoma City Thunder,117,Dallas Mavericks,111,6
Memphis Grizzlies,123,Utah Jazz,124,-1
New Orleans Pelicans,112,Los Angeles Clippers,91,21
Washington Wizards,94,Boston Celtics,112,-18
New York Knicks,108,Cleveland Cavaliers,121,-13
Golden State Warriors,114,Detroit Pistons,128,-14
Minnesota Timberwolves,98,San Antonio Spurs,107,-9
Orlando Magic,105,Dallas Mavericks,114,-9
Houston Rockets,109,Phoenix Suns,124,-15
Denver Nuggets,110,Los Angeles Lakers,121,-11
Sacramento Kings,115,Charlotte Hornets,108,7
Philadelphia 76ers,118,Washington Wizards,111,7
Indiana Pacers,109,Brooklyn Nets,116,-7
Atlanta Hawks,109,Toronto Raptors,139,-30
Detroit Pistons,108,Milwaukee Bucks,110,-2
Memphis Grizzlies,105,Utah Jazz,121,-16
Houston Rockets,93,Los Angeles Clippers,95,-2
Chicago Bulls,108,Brooklyn Nets,99,9
Golden State Warriors,109,Miami Heat,116,-7
Orlando Magic,108,Oklahoma City Thunder,116,-8
Minnesota Timberwolves,107,Phoenix Suns,116,-9
Washington Wizards,121,Philadelphia 76ers,111,10
Boston Celtics,113,Cleveland Cavaliers,114,-1
Sacramento Kings,107,Miami Heat,110,-3
Atlanta Hawks,112,New York Knicks,99,13
Charlotte Hornets,88,Chicago Bulls,106,-18
Los Angeles Clippers,109,Houston Rockets,101,8
Detroit Pistons,91,Milwaukee Bucks,116,-25
Toronto Raptors,143,San Antonio Spurs,100,43
Utah Jazz,100,Dallas Mavericks,103,-3
Memphis Grizzlies,111,Portland Trail Blazers,106,5
New Orleans Pelicans,117,Los Angeles Lakers,120,-3
Golden State Warriors,129,Orlando Magic,130,-1
Denver Nuggets,122,Oklahoma City Thunder,110,12
Cleveland Cavaliers,112,Detroit Pistons,88,24
Miami Heat,99,Indiana Pacers,101,-2
New York Knicks,106,Philadelphia 76ers,104,2
Brooklyn Nets,128,Washington Wizards,86,42
Chicago Bulls,119,Boston Celtics,123,-4
Charlotte Hornets,99,Memphis Grizzlies,130,-31
Los Angeles Clippers,113,San Antonio Spurs,106,7
Toronto Raptors,110,Dallas Mavericks,111,-1
Golden State Warriors,105,New Orleans Pelicans,114,-9
Milwaukee Bucks,115,Minnesota Timberwolves,102,13
Portland Trail Blazers,108,Phoenix Suns,106,2
Utah Jazz,130,Los Angeles Lakers,116,14
Sacramento Kings,126,Orlando Magic,123,3
Brooklyn Nets,98,Charlotte Hornets,94,4
New Orleans Pelicans,121,Atlanta Hawks,124,-3
Boston Celtics,133,New York Knicks,118,15
Oklahoma City Thunder,94,Milwaukee Bucks,108,-14
Houston Rockets,117,Minnesota Timberwolves,129,-12
San Antonio Spurs,101,Denver Nuggets,126,-25
Portland Trail Blazers,82,Phoenix Suns,102,-20
Cleveland Cavaliers,114,Los Angeles Lakers,100,14
Washington Wizards,97,Memphis Grizzlies,103,-6
Chicago Bulls,104,Toronto Raptors,113,-9
Utah Jazz,110,Los Angeles Clippers,102,8
Washington Wizards,108,Charlotte Hornets,100,8
Houston Rockets,134,Orlando Magic,127,7
Oklahoma City Thunder,103,Detroit Pistons,112,-9
New Orleans Pelicans,122,Indiana Pacers,129,-7
Phoenix Suns,88,Philadelphia 76ers,100,-12
Milwaukee Bucks,98,Atlanta Hawks,117,-19
Portland Trail Blazers,110,Miami Heat,107,3
Toronto Raptors,97,Chicago Bulls,111,-14
Boston Celtics,109,Memphis Grizzlies,106,3
New York Knicks,120,Minnesota Timberwolves,107,13
Denver Nuggets,115,San Antonio Spurs,109,6
Brooklyn Nets,94,Dallas Mavericks,96,-2
Sacramento Kings,113,Golden State Warriors,116,-3
Los Angeles Lakers,116,Utah Jazz,139,-23
Cleveland Cavaliers,117,Los Angeles Clippers,119,-2
Dallas Mavericks,87,Orlando Magic,94,-7
Portland Trail Blazers,105,Charlotte Hornets,95,10
Denver Nuggets,122,Indiana Pacers,119,3
Utah Jazz,125,Atlanta Hawks,119,6
Detroit Pistons,112,Boston Celtics,128,-16
New York Knicks,85,Brooklyn Nets,112,-27
Houston Rockets,109,Toronto Raptors,116,-7
New Orleans Pelicans,115,Chicago Bulls,111,4
Phoenix Suns,129,Minnesota Timberwolves,117,12
Milwaukee Bucks,136,Oklahoma City Thunder,132,4
Memphis Grizzlies,124,San Antonio Spurs,122,2
Los Angeles Lakers,101,Los Angeles Clippers,114,-13
Cleveland Cavaliers,120,Sacramento Kings,127,-7
Dallas Mavericks,105,Washington Wizards,113,-8
Philadelphia 76ers,95,Atlanta Hawks,104,-9
Charlotte Hornets,112,Miami Heat,117,-5
Portland Trail Blazers,106,New Orleans Pelicans,95,11
Denver Nuggets,112,Boston Celtics,131,-19
Phoenix Suns,97,Orlando Magic,114,-17
Detroit Pistons,112,New York Knicks,121,-9
Toronto Raptors,113,Oklahoma City Thunder,132,-19
Milwaukee Bucks,93,San Antonio Spurs,111,-18
Minnesota Timberwolves,103,Memphis Grizzlies,114,-11
